system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,pai,.geo
001200000000000043af_0,5152,4796,4420,4895,5324,5431,5756,-5249,32767,1312,9,3152,2688,2386,2921,3629,3851,4476,-10779,32767,3045,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.714859185434259,50.792058688236864]}"
001200000000000043e6_0,3316,3186,2988,3289,3767,3866,3946,-7996,32767,1381,9,2832,2754,2686,2963,3298,3448,3610,-15267,32767,1467,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.760766978624833,50.788261065578986]}"
001200000000000043e9_0,3388,3208,3038,3452,3944,4095,4260,-10458,32767,1674,9,7060,6652,6508,6712,6622,6413,6880,-1324,-32768,277,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.763172649697161,50.78788563196265]}"
00120000000000004488_0,963,1132,882,1364,3050,3688,3382,32767,32767,5863,10,6236,5908,5748,6073,6123,6133,6400,-2771,32767,536,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.887028279357331,50.76560606239209]}"
001200000000000044a8_0,6840,6896,7032,7168,7710,7950,7936,-19299,32767,603,9,12560,11592,10984,11150,10525,10164,10944,57,-32768,-18,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.910590489460958,50.75948903495322]}"
001200000000000044c0_0,7760,7872,8032,8461,8518,8389,7728,3334,32767,-192,9,10976,10384,10160,10586,10603,10509,10360,-454,32767,97,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.925602903965505,50.75145691272656]}"
00120000000000006bb9_0,7116,6932,6600,7081,6935,6791,7036,-1618,32767,319,9,7552,7084,6744,7357,7506,7451,8172,-4460,32767,957,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.288540903189253,50.866104201826374]}"
00120000000000006c0a_0,6464,5988,5688,6117,6090,6013,6408,-2266,32767,595,9,746,841,786,1003,1688,1967,2084,26907,32767,4522,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.352408287192288,50.85558718318226]}"
00120000000000006c29_0,5968,5596,5252,5694,5749,5739,6024,-2672,32767,684,9,703,896,911,1244,1926,2257,2734,15562,32767,5001,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.376668646626532,50.85137473616018]}"
00120000000000006c2e_0,5536,5260,5060,5466,5533,5512,5724,-3054,32767,615,9,725,835,1078,1294,1576,1685,1826,6544,32767,2575,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.38049902037548,50.85073281711253]}"
00120000000000006c67_0,5228,4892,4548,4944,5146,5179,5536,-3868,32767,979,9,488,623,439,897,3236,4232,4552,29153,32767,8240,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.425034138800754,50.842935254368875]}"
00120000000000006cde_0,6168,5776,5552,5985,5979,5978,6104,-2016,32767,473,9,1168,1666,1678,1833,2155,2317,2206,3755,32767,1359,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.518170914625626,50.82673149478384]}"
00120000000000006ce0_0,6196,5748,5516,5943,6011,5996,6196,-2368,32767,580,9,5336,4992,4936,5389,5594,5603,5704,-4085,32767,721,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.519729675702466,50.82645477706079]}"
00120000000000006ce2_0,6044,5712,5428,5929,5953,5921,6088,-2472,32767,573,9,6424,6268,5868,6177,6339,6288,6740,-3498,32767,691,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.521288418207366,50.82617803855652]}"
00120000000000006cf7_0,6024,5636,5336,5768,5809,5792,6060,-2548,32767,635,9,9064,7920,7208,7048,6972,6832,8336,-1720,-32768,725,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.538434393854153,50.82322246739217]}"
00120000000000006d4b_0,5756,5484,5124,5489,5627,5664,5988,-3355,32767,777,9,2050,2404,2542,2992,4017,4427,4340,10656,32767,2612,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.601269629846147,50.80753775917209]}"
00120000000000006d4e_0,5756,5356,4920,5324,5628,5642,6012,-3574,32767,998,9,4352,4168,3950,4317,5009,5252,5672,-13177,32767,1789,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.603534518876636,50.80707641982608]}"
00120000000000006d5b_0,6080,5660,5264,5670,5797,5795,6224,-3080,32767,835,9,4936,4892,5080,5532,6104,6241,6144,-32768,32767,947,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.61661091017245,50.808536835205416]}"
