system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,.geo
0012000000000001375e_4,5420,5244,5004,5398,5775,5887,6124,-6220,32767,1006,9,9328,8712,8448,8884,8555,8367,8472,-55,-32768,14,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774853470130488,50.77359967975195]}"
0012000000000001375e_5,5348,5192,4908,5303,5686,5814,6056,-6232,32767,1047,9,9304,8728,8488,8866,8541,8317,8448,96,-32768,-23,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774995279925347,50.77359873758429]}"
0012000000000001375e_6,5376,5236,4964,5398,5775,5887,6064,-6150,32767,997,9,9456,8792,8464,8884,8555,8367,8624,-347,-32768,93,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774710174883346,50.773510701465945]}"
0012000000000001375e_7,5392,5224,4920,5398,5775,5887,6068,-5916,32767,1044,9,9392,8752,8416,8884,8555,8367,8536,-262,-32768,70,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774851984413965,50.77350975947366]}"
0012000000000001375e_8,5268,5148,4876,5303,5686,5814,6040,-6907,32767,1066,9,9464,8768,8488,8866,8541,8317,8512,-51,-32768,14,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.77499379393698,50.77350881730899]}"
0012000000000001376f_0,4536,4264,4056,4466,5304,5649,5844,-11643,32767,1806,9,6928,6976,7188,7767,7560,7356,6720,5542,32767,-336,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.78814728909937,50.771352282218864]}"
0012000000000001376f_1,4608,4280,4042,4466,5304,5649,5832,-10000,32767,1812,9,7552,7548,7548,7767,7560,7356,7168,2271,-32768,-258,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788003975729046,50.77126332031442]}"
0012000000000001376f_2,4560,4256,4042,4466,5304,5649,5864,-11156,32767,1839,9,7140,7168,7384,7767,7560,7356,6820,5814,-32768,-397,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788145778015455,50.77126236219063]}"
0012000000000001376f_3,4572,4236,4064,4543,5281,5573,5816,-10711,32767,1773,9,6720,6656,7060,7127,6893,6803,6500,9096,-32768,-412,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788287580294133,50.771261403894464]}"
0012000000000001376f_4,4552,4300,4020,4510,5262,5637,5880,-11234,32767,1878,9,7840,7772,7484,7611,7391,7266,7416,262,-32768,-45,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788002464924661,50.771173400281704]}"
